modelid,rating_score,review_score,price_score,name,type,address1,address2,rating,themenum,latitude,longitude
1377,0.0,0.0,0.44516960596979405,예술창작의집,"관람,체험",제주 서귀포시 표선면 성읍정의현로34번길 6,성읍리 943,0.0,24,33.3859194042382,126.802283795664
1378,0.0,0.31896756460657627,0.44516960596979405,저지예술정보화마을,체험마을,제주 제주시 한경면 중산간서로 3687,저지리 1843-2,0.0,24,33.3336678972089,126.256108039246
1379,0.0,0.145577426848741,0.44516960596979405,저지녹색농촌체험마을,체험마을,제주 제주시 한경면 중산간서로 3687,저지리 1843-2,0.0,24,33.3336678972089,126.256108039246
1380,0.0,0.19874410668856202,0.8855439589928684,신성진체험,"관람,체험",제주 서귀포시 중문상로 10 102호,중문동 2367-1,0.0,24,33.2387445664083,126.439554978505
1381,0.0,0.0,0.44516960596979405,상예2마을,체험여행,제주 서귀포시 존제로15번길 14-2,상예동 4643-2,0.0,24,33.2647311008876,126.376250006302
1382,0.0,0.0,0.44516960596979405,칠성눌,체험여행,제주 서귀포시 온평포구로54번길 17,성산읍 온평리 1103-1,0.0,24,33.4008293379737,126.901413418756
1383,0.0,0.0,0.44516960596979405,음식물자원화및주민자치체험농장,체험여행,제주 서귀포시 안덕면 서안골로 83-13,감산리 1286,0.0,24,33.2526558779766,126.348271445439
1384,0.0,0.0,0.44516960596979405,빌레의케리커쳐,체험여행,없음,제주 제주시 한경면 저지리 2120-154,0.0,24,33.3375560186467,126.269195455998
1385,0.0,0.06269678512839692,0.44516960596979405,포서네,"관람,체험",제주 서귀포시 남원읍 태수로70번길 27,태흥리 822,0.0,24,33.2918200762562,126.740695328066
1386,0.0,0.0,0.44516960596979405,동항개물,체험여행,없음,제주 서귀포시 대정읍 가파리,0.0,24,33.1697319370923,126.271293664433
1387,0.0,0.3106121815562228,0.44516960596979405,법환어촌계,체험마을,제주 서귀포시 법환로 1,법환동 208-4,0.0,24,33.236168273253,126.514672636039
1388,0.0,0.12539357025679385,0.44516960596979405,유수암마을,체험마을,제주 제주시 애월읍 유수암평화길 14,유수암리 1892-1,0.0,24,33.4413805711959,126.402917280329
1389,0.0,0.0,0.44516960596979405,옛성터,"관람,체험",제주 서귀포시 표선면 중산간동로 4668,성읍리 659-1,0.0,24,33.3895081975751,126.796807309145
1390,0.0,0.06269678512839692,0.44516960596979405,제주어교실,체험여행,제주 서귀포시 대정읍 암반수마농로 538-2,무릉리 568-11,0.0,24,33.273878750081,126.233225255216
1391,0.0,0.12539357025679385,0.44516960596979405,조수국민학교,체험마을,제주 제주시 한경면 용금로 449 조수국민학교,조수리 315,0.0,24,33.3358321873969,126.228022649077
1392,0.0,0.21689524086008505,0.44516960596979405,신흥2리(동백마을)농촌체험휴양마을,체험마을,제주 서귀포시 남원읍 중산간동로 5807,신흥리 1756-1,0.0,24,33.321252042146,126.74566966469
